AT,c,mobility
1,0,-0.085851
1,0,-0.13037
1,0,-0.095801
1,0,-0.12009
1,0,-0.11588
1,0,-0.12218
1,15,-0.78313
1,15,-0.83736
1,15,-0.90569
1,15,-0.82014
1,15,-0.83574
1,15,-0.92825
1,30,-1.7455
1,30,-1.813
1,30,-1.7914
1,30,-1.7468
1,30,-1.7954
1,30,-1.8515
1,50,-2.8359
1,50,-2.7872
1,50,-2.8073
1,50,-2.8092
1,50,-2.818
1,50,-2.846
1,70,-3.6804
1,70,-3.6285
1,70,-3.5817
1,70,-3.6353
1,70,-3.6132
1,70,-3.6911
1,90,-3.9362
1,90,-3.9534
1,90,-3.9563
1,90,-3.9327
1,90,-3.9193
1,90,-3.9098
1,110,-4.546
1,110,-4.5381
1,110,-4.54
1,110,-4.5826
1,110,-4.6122
1,110,-4.5707
2,0,-0.21638
2,0,-0.18404
2,0,-0.18559
2,0,-0.15934
2,0,-0.13336
2,0,-0.18361
2,15,-0.87229
2,15,-0.87128
2,15,-0.86307
2,15,-0.85023
2,15,-0.82958
2,15,-0.81204
2,30,-1.6572
2,30,-1.6653
2,30,-1.6684
2,30,-1.6589
2,30,-1.6982
2,30,-1.6668
2,50,-2.5856
2,50,-2.5822
2,50,-2.5607
2,50,-2.5695
2,50,-2.5824
2,50,-2.5455
2,70,-3.3986
2,70,-3.3028
2,70,-3.3308
2,70,-3.3786
2,70,-3.3904
2,70,-3.3688
2,90,-4.1278
2,90,-4.1277
2,90,-4.0966
2,90,-4.0212
2,90,-4.0205
2,90,-4.1237
2,110,-4.8262
2,110,-4.5506
2,110,-4.5794
2,110,-4.7753
2,110,-4.7923
2,110,-4.8323
3,0,-0.15011
3,0,-0.17823
3,0,-0.17514
3,0,-0.13335
3,0,-0.12148
3,0,-0.12361
3,15,-0.91774
3,15,-0.94054
3,15,-0.90436
3,15,-0.95222
3,15,-0.91968
3,15,-0.9934
3,30,-1.6087
3,30,-1.402
3,30,-1.6094
3,30,-1.7122
3,30,-1.7174
3,30,-1.763
3,50,-2.7642
3,50,-2.7434
3,50,-2.7686
3,50,-2.8573
3,50,-2.7929
3,50,-2.9088
3,70,-3.5268
3,70,-3.419
3,70,-3.4347
3,70,-3.4822
3,70,-3.5339
3,70,-3.5274
3,90,-4.0366
3,90,-4.0229
3,90,-4.014
3,90,-4.0106
3,90,-4.0225
3,90,-3.9861
3,110,-4.6441
3,110,-4.3595
3,110,-4.4134
3,110,-4.6329
3,110,-4.6636
3,110,-4.6303
