AT,c,mobility
1,0,5.746449
1,0,5.70193
1,0,5.736499
1,0,5.71221
1,0,5.71642
1,0,5.71012
1,15,5.04917
1,15,4.99494
1,15,4.92661
1,15,5.01216
1,15,4.99656
1,15,4.90405
1,30,4.0868
1,30,4.0193
1,30,4.0409
1,30,4.0855
1,30,4.0369
1,30,3.9808
1,50,2.9964
1,50,3.0451
1,50,3.025
1,50,3.0231
1,50,3.0143
1,50,2.9863
1,70,2.1519
1,70,2.2038
1,70,2.2506
1,70,2.197
1,70,2.2191
1,70,2.1412
1,90,1.8961
1,90,1.8789
1,90,1.876
1,90,1.8996
1,90,1.913
1,90,1.9225
1,110,1.2863
1,110,1.2942
1,110,1.2923
1,110,1.2497
1,110,1.2201
1,110,1.2616
2,0,5.61592
2,0,5.64826
2,0,5.64671
2,0,5.67296
2,0,5.69894
2,0,5.64869
2,15,4.96001
2,15,4.96102
2,15,4.96923
2,15,4.98207
2,15,5.00272
2,15,5.02026
2,30,4.1751
2,30,4.167
2,30,4.1639
2,30,4.1734
2,30,4.1341
2,30,4.1655
2,50,3.2467
2,50,3.2501
2,50,3.2716
2,50,3.2628
2,50,3.2499
2,50,3.2868
2,70,2.4337
2,70,2.5295
2,70,2.5015
2,70,2.4537
2,70,2.4419
2,70,2.4635
2,90,1.7045
2,90,1.7046
2,90,1.7357
2,90,1.8111
2,90,1.8118
2,90,1.7086
2,110,1.0061
2,110,1.2817
2,110,1.2529
2,110,1.057
2,110,1.04
2,110,1
3,0,5.68219
3,0,5.65407
3,0,5.65716
3,0,5.69895
3,0,5.71082
3,0,5.70869
3,15,4.91456
3,15,4.89176
3,15,4.92794
3,15,4.88008
3,15,4.91262
3,15,4.8389
3,30,4.2236
3,30,4.4303
3,30,4.2229
3,30,4.1201
3,30,4.1149
3,30,4.0693
3,50,3.0681
3,50,3.0889
3,50,3.0637
3,50,2.975
3,50,3.0394
3,50,2.9235
3,70,2.3055
3,70,2.4133
3,70,2.3976
3,70,2.3501
3,70,2.2984
3,70,2.3049
3,90,1.7957
3,90,1.8094
3,90,1.8183
3,90,1.8217
3,90,1.8098
3,90,1.8462
3,110,1.1882
3,110,1.4728
3,110,1.4189
3,110,1.1994
3,110,1.1687
3,110,1.202
