AT,c,mobility
1,0,-1.4204
1,0,-1.4594
1,0,-1.4648
1,0,-1.4209
1,0,-1.4294
1,0,-1.4011
1,15,-2.0146
1,15,-1.9932
1,15,-2.0138
1,15,-2.0184
1,15,-2.0327
1,15,-2.0288
1,30,-2.2961
1,30,-2.31
1,30,-2.2942
1,30,-2.3992
1,30,-2.3015
1,30,-2.3468
1,50,-2.6399
1,50,-2.5667
1,50,-2.6562
1,50,-2.6448
1,50,-2.7524
1,50,-2.6655
1,70,-3.0112
1,70,-2.911
1,70,-3.0693
1,70,-3.0319
1,70,-3.1022
1,70,-3.0502
1,90,-3.209
1,90,-3.196
1,90,-3.1521
1,90,-3.1974
1,90,-3.2101
1,90,-3.3019
1,110,-3.5167
1,110,-3.5167
1,110,-3.381
1,110,-3.4906
1,110,-3.6383
1,110,-3.737
2,0,-1.8162
2,0,-1.8712
2,0,-1.8745
2,0,-1.8436
2,0,-1.8444
2,0,-1.8565
2,15,-2.2962
2,15,-2.2773
2,15,-2.1179
2,15,-2.0741
2,15,-2.138
2,15,-2.146
2,30,-2.4203
2,30,-2.4258
2,30,-2.5495
2,30,-2.2182
2,30,-2.2164
2,30,-2.2116
2,50,-2.952
2,50,-3.0513
2,50,-3.0156
2,50,-3.1952
2,50,-3.1248
2,50,-3.11
2,70,-3.2177
2,70,-3.1794
2,70,-3.4406
2,70,-3.3617
2,70,-3.3466
2,70,-3.3142
2,90,-3.4173
2,90,-3.4938
2,90,-3.3939
2,90,-3.4635
2,90,-3.4375
2,90,-3.5381
2,110,-3.4923
2,110,-3.572
2,110,-3.6001
2,110,-3.5162
2,110,-3.588
2,110,-3.5363
3,0,-1.5098
3,0,-1.499
3,0,-1.4697
3,0,-1.5006
3,0,-1.5174
3,0,-1.4096
3,15,-2.161
3,15,-2.1798
3,15,-2.1487
3,15,-2.1708
3,15,-2.1292
3,15,-2.1709
3,30,-2.5261
3,30,-2.5939
3,30,-2.5909
3,30,-2.6082
3,30,-2.6246
3,30,-2.6116
3,50,-2.8788
3,50,-2.8765
3,50,-2.8954
3,50,-2.8881
3,50,-2.8977
3,50,-2.9279
3,70,-3.1399
3,70,-3.1628
3,70,-3.1516
3,70,-3.2607
3,70,-3.2418
3,70,-3.2726
3,90,-3.5369
3,90,-3.5212
3,90,-3.6299
3,90,-3.6988
3,90,-3.6351
3,90,-3.5768
3,110,-3.8065
3,110,-3.8236
3,110,-4.0399
3,110,-3.9799
3,110,-3.9848
3,110,-4.07
