AT,c,mobility
1,0,10.94
1,0,10.932
1,0,10.996
1,0,11.007
1,0,11.161
1,0,11.161
1,15,9.9218
1,15,9.898
1,15,9.9675
1,15,9.925
1,15,9.9459
1,15,9.9528
1,30,8.6027
1,30,8.5551
1,30,8.6036
1,30,8.5824
1,30,8.6343
1,30,8.5626
1,50,6.8578
1,50,6.9953
1,50,7.0213
1,50,7.1347
1,50,7.077
1,50,7.1873
1,70,5.8732
1,70,5.9588
1,70,5.8741
1,70,5.9653
1,70,5.9152
1,70,5.9259
1,90,4.8264
1,90,4.7698
1,90,4.8114
1,90,4.7867
1,90,4.7966
1,90,4.7893
1,110,3.8432
1,110,3.8991
1,110,3.8192
1,110,3.8696
1,110,3.8427
1,110,3.8354
2,0,11.077
2,0,11.089
2,0,11.101
2,0,11.168
2,0,11.159
2,0,11.214
2,15,9.6987
2,15,9.6977
2,15,9.7244
2,15,9.6701
2,15,9.6932
2,15,9.712
2,30,8.494
2,30,8.4653
2,30,8.4365
2,30,8.5209
2,30,8.3723
2,30,8.4208
2,50,7.0836
2,50,7.0127
2,50,7.0416
2,50,7.0133
2,50,7.0324
2,50,6.9878
2,70,5.72
2,70,5.775
2,70,5.7117
2,70,5.8093
2,70,5.737
2,70,5.6366
2,90,4.4
2,90,4.4242
2,90,4.4411
2,90,4.4632
2,90,4.4824
2,90,4.447
2,110,3.16
2,110,3.3214
2,110,3.2808
2,110,3.3339
2,110,3.3244
2,110,3.3872
3,0,10.403
3,0,10.449
3,0,10.593
3,0,10.626
3,0,10.644
3,0,10.486
3,15,9.3504
3,15,9.4625
3,15,9.3419
3,15,9.383
3,15,9.3404
3,15,9.4172
3,30,7.611
3,30,7.57
3,30,8.0204
3,30,7.9529
3,30,8.0554
3,30,8.0389
3,50,6.4355
3,50,6.4536
3,50,6.4161
3,50,6.3774
3,50,6.391
3,50,6.3504
3,90,3.7988
3,90,3.8165
3,90,3.902
3,90,3.9985
3,90,3.8523
3,110,2.6104
3,110,2.6062
3,110,2.5923
3,110,2.6632
3,110,2.5884
3,110,2.6693
