AT,c,mobility
1,0,1010.94
1,0,1010.932
1,0,1010.996
1,0,1011.007
1,0,1011.161
1,0,1011.161
1,15,1009.9218
1,15,1009.898
1,15,1009.9675
1,15,1009.925
1,15,1009.9459
1,15,1009.9528
1,30,1008.6027
1,30,1008.5551
1,30,1008.6036
1,30,1008.5824
1,30,1008.6343
1,30,1008.5626
1,50,1006.8578
1,50,1006.9953
1,50,1007.0213
1,50,1007.1347
1,50,1007.077
1,50,1007.1873
1,70,1005.8732
1,70,1005.9588
1,70,1005.8741
1,70,1005.9653
1,70,1005.9152
1,70,1005.9259
1,90,1004.8264
1,90,1004.7698
1,90,1004.8114
1,90,1004.7867
1,90,1004.7966
1,90,1004.7893
1,110,1003.8432
1,110,1003.8991
1,110,1003.8192
1,110,1003.8696
1,110,1003.8427
1,110,1003.8354
2,0,1011.077
2,0,1011.089
2,0,1011.101
2,0,1011.168
2,0,1011.159
2,0,1011.214
2,15,1009.6987
2,15,1009.6977
2,15,1009.7244
2,15,1009.6701
2,15,1009.6932
2,15,1009.712
2,30,1008.494
2,30,1008.4653
2,30,1008.4365
2,30,1008.5209
2,30,1008.3723
2,30,1008.4208
2,50,1007.0836
2,50,1007.0127
2,50,1007.0416
2,50,1007.0133
2,50,1007.0324
2,50,1006.9878
2,70,1005.72
2,70,1005.775
2,70,1005.7117
2,70,1005.8093
2,70,1005.737
2,70,1005.6366
2,90,1004.4
2,90,1004.4242
2,90,1004.4411
2,90,1004.4632
2,90,1004.4824
2,90,1004.447
2,110,1003.16
2,110,1003.3214
2,110,1003.2808
2,110,1003.3339
2,110,1003.3244
2,110,1003.3872
3,0,1010.403
3,0,1010.449
3,0,1010.593
3,0,1010.626
3,0,1010.644
3,0,1010.486
3,15,1009.3504
3,15,1009.4625
3,15,1009.3419
3,15,1009.383
3,15,1009.3404
3,15,1009.4172
3,30,1007.611
3,30,1007.57
3,30,1008.0204
3,30,1007.9529
3,30,1008.0554
3,30,1008.0389
3,50,1006.4355
3,50,1006.4536
3,50,1006.4161
3,50,1006.3774
3,50,1006.391
3,50,1006.3504
3,90,1003.7988
3,90,1003.8165
3,90,1003.902
3,90,1003.9985
3,90,1003.8523
3,110,1002.6104
3,110,1002.6062
3,110,1002.5923
3,110,1002.6632
3,110,1002.5884
3,110,1002.6693
