AT,c,mobility
1,0,12.613
1,0,12.608
1,0,12.62
1,0,12.615
1,0,12.623
1,0,12.597
1,15,11.634
1,15,11.557
1,15,11.402
1,15,11.522
1,15,11.725
1,15,11.681
1,30,9.8824
1,30,10.229
1,30,9.81
1,30,9.837
1,30,9.7639
1,30,10.095
1,50,8.3898
1,50,8.7986
1,50,8.5286
1,50,8.6236
1,50,8.4636
1,50,8.6487
1,70,7.0562
1,70,7.2472
1,70,7.0701
1,70,7.4549
1,70,7.1048
1,70,7.4877
1,90,6.294
1,90,6.3615
1,90,6.3893
1,90,6.3901
1,90,6.4721
1,90,6.5438
1,110,4.1155
1,110,5.1819
1,110,4.419
1,110,4.5249
1,110,4.3545
1,110,4.455
2,0,11.367
2,0,11.365
2,0,11.15
2,0,11.188
2,30,9.197
2,30,9.0949
2,30,9.0993
2,30,9.1251
2,30,8.9889
2,30,9.0382
2,50,8.0024
2,50,7.95
2,50,7.5879
2,50,7.7559
2,50,7.673
2,50,7.8659
2,70,6.6721
2,70,6.4633
2,70,6.8743
2,70,6.5827
2,70,6.5998
2,70,6.6093
2,90,6.2654
2,90,6.3252
2,90,6.1923
2,90,6.2728
2,90,6.1231
2,90,6.3617
2,110,5.3801
2,110,5.3615
2,110,5.2632
2,110,5.2474
2,110,4.9402
2,110,5.0256
3,0,11.155
3,0,11.224
3,0,11.268
3,0,11.286
3,0,11.265
3,0,11.272
3,15,10.431
3,15,10.587
3,15,10.401
3,15,10.496
3,15,10.525
3,15,10.459
3,30,8.8463
3,30,8.6837
3,30,8.8866
3,30,8.6504
3,30,9.0341
3,30,8.9297
3,50,7.2703
3,50,7.0605
3,50,7.1589
3,50,7.0728
3,50,7.2054
3,50,7.0989
3,70,6.0344
3,70,5.9081
3,70,6.0326
3,70,5.6963
3,70,6.059
3,70,5.7386
3,90,5.0556
3,90,5.0774
3,90,5.1591
3,90,4.8423
3,90,4.9419
3,90,4.8941
3,110,3.9047
3,110,3.8661
3,110,3.8933
3,110,3.826
3,110,3.8865
3,110,3.6443
