AT,c,mobility
1,0,10.948
1,0,11.01
1,0,11.041
1,0,11.018
1,0,11.172
1,0,11.198
1,15,7.6771
1,15,7.7032
1,15,7.7616
1,15,7.7358
1,15,7.7854
1,15,7.7794
1,30,5.1658
1,30,4.8142
1,30,5.0714
1,30,4.9812
1,30,5.0654
1,30,4.9481
1,50,2.2511
1,50,2.5557
1,50,2.087
1,50,2.433
1,50,2.1322
1,50,2.083
1,70,0.86538
1,70,0.89303
1,70,0.87227
1,70,0.95781
1,70,0.92144
1,70,0.93428
2,0,10.873
2,0,10.915
2,0,10.933
2,0,10.93
2,0,10.914
2,0,10.948
2,15,8.1386
2,15,8.1083
2,15,7.9678
2,15,8.0097
2,15,8.0017
2,15,8.0582
2,30,5.3177
2,30,5.7886
2,30,5.7784
2,30,5.5098
2,30,5.3524
2,30,5.528
2,50,2.9754
2,50,2.7006
2,50,2.3405
2,50,2.9794
2,50,2.3287
2,50,2.3354
2,70,0.89547
2,70,0.84651
2,70,0.8903
2,70,0.85433
2,70,0.86561
2,70,0.85268
3,0,9.5267
3,0,9.5872
3,0,9.6734
3,0,9.6009
3,0,9.6226
3,0,9.6314
3,15,7.7318
3,15,7.7728
3,15,7.6302
3,15,7.5108
3,15,7.7821
3,15,7.7715
3,30,5.1537
3,30,5.005
3,30,5.1826
3,30,4.9862
3,30,5.1467
3,30,4.9917
3,50,2.4667
3,50,2.4432
3,50,2.447
3,50,2.489
3,50,2.3581
3,50,2.457
3,70,1.1894
3,70,1.2677
3,70,1.2276
3,70,1.2057
3,70,1.2653
3,70,1.2525
4,0,10.94
4,0,10.932
4,0,10.996
4,0,11.007
4,0,11.161
4,0,11.161
4,15,8.0768
4,15,8.1037
4,15,8.1172
4,15,8.0969
4,15,8.0981
4,15,8.1076
4,30,5.4685
4,30,5.4308
4,30,5.4254
4,30,5.475
4,30,5.4421
4,30,5.3579
4,50,2.4065
4,50,2.695
4,50,2.5097
4,50,2.5523
4,50,2.5597
4,50,2.5524
4,70,0.93557
4,70,0.93418
4,70,0.9269
4,70,0.97446
4,70,0.94031
4,70,0.9833
5,0,10.403
5,0,10.449
5,0,10.593
5,0,10.626
5,0,10.644
5,0,10.486
5,15,7.5046
5,15,7.6697
5,15,7.6368
5,15,7.7484
5,15,7.9263
5,15,7.9981
5,30,4.642
5,30,4.5246
5,30,5.5322
5,30,5.1918
5,30,5.6743
5,30,5.6704
5,50,1.5684
5,50,1.6235
5,50,1.6099
5,50,1.5288
5,50,1.5497
5,50,1.5838
6,0,11.077
6,0,11.089
6,0,11.101
6,0,11.168
6,0,11.159
6,0,11.214
6,15,7.6396
6,15,7.6645
6,15,7.7229
6,15,7.6937
6,15,7.646
6,15,7.6779
6,30,4.9944
6,30,5.0816
6,30,5.228
6,30,5.2317
6,30,4.895
6,30,5.0465
6,50,2.6999
6,50,2.7461
6,50,2.6484
6,50,2.6625
6,50,2.6219
6,50,2.3885
