AT,c,mobility
1,0,12.613
1,0,12.608
1,0,12.62
1,0,12.615
1,0,12.623
1,0,12.597
1,15,12.439
1,15,12.63
1,15,12.486
1,15,12.544
1,15,12.454
1,15,12.586
1,30,11.617
1,30,11.778
1,30,11.554
1,30,11.785
1,30,11.558
1,30,11.791
1,50,10.784
1,50,11.014
1,50,10.876
1,50,10.975
1,50,10.803
1,50,10.922
1,70,9.8292
1,70,10.126
1,70,9.9981
1,70,10.195
1,70,10.026
1,70,10.159
1,90,9.781
1,90,9.9442
1,90,9.8352
1,90,9.9205
1,90,10.2
1,90,9.8383
1,110,8.282
1,110,8.6338
1,110,8.2663
1,110,8.5658
1,110,8.3688
1,110,8.3951
2,0,11.367
2,0,11.365
2,0,11.15
2,0,11.188
2,30,10.635
2,30,10.621
2,30,10.653
2,30,10.689
2,30,10.635
2,30,10.653
2,50,9.9243
2,50,9.9816
2,50,9.9276
2,50,10.017
2,50,9.9173
2,50,10.028
2,70,9.3456
2,70,9.3239
2,70,9.5188
2,70,9.357
2,70,9.4646
2,70,9.4368
2,90,9.1681
2,90,9.1208
2,90,9.2326
2,90,9.2215
2,90,9.0958
2,90,9.2266
2,110,8.598
2,110,8.69
2,110,8.6801
2,110,8.6564
2,110,8.5602
2,110,8.6071
3,0,11.155
3,0,11.224
3,0,11.268
3,0,11.286
3,0,11.265
3,0,11.272
3,15,10.922
3,15,11.022
3,15,10.573
3,15,10.236
3,15,10.521
3,15,10.391
3,30,10.314
3,30,10.09
3,30,10.284
3,30,10.181
3,30,10.354
3,30,10.276
3,50,9.5624
3,50,9.5398
3,50,9.492
3,50,9.4805
3,50,9.5529
3,50,9.4635
3,70,8.9558
3,70,8.8577
3,70,8.93
3,70,8.7892
3,70,8.9463
3,70,8.6368
3,90,8.4787
3,90,8.4168
3,90,8.4409
3,90,8.3279
3,90,8.3951
3,90,8.4035
3,110,7.8136
3,110,7.7925
3,110,7.7217
3,110,7.709
3,110,7.6162
3,110,7.6755
